"","x"
"1",8.948030996014
"2",-1.01397185649538
"3",-1.52920019744769
"4",-5.06655217742739
"5",-1.49257867903832
"6",-2.56418498912233
"7",-3.14824406398712
"8",-4.38074969130308
"9",-1.91167460388243
"10",-2.6048954097709
"11",-1.44006648932387
"12",-0.55271651512906
"13",-5.40486417900692
"14",-2.59843944527538
"15",-4.82229599863832
"16",-2.42503841397001
"17",-1.42846100956472
"18",0.219010983545946
"19",-0.110041101804695
"20",-0.813489256305412
"21",-0.630247948448655
"22",-3.86334146236166
"23",-2.70508855466649
"24",-2.09740001904297
"25",-2.87714134294802
"26",-1.50375025823594
"27",-1.88212694239684
"28",-1.19145863812736
"29",-4.24701602023735
"30",1.09985640985976
"31",-1.84127901992081
"32",-4.5690979558831
"33",-0.814835815905833
"34",-6.34231536803207
"35",1.41717133822925
"36",-4.71382310698033
"37",-4.37440872574929
"38",-3.48111981426248
"39",1.09763795744015
"40",-6.36121119629317
"41",-0.500434982367738
"42",1.42364815537508
"43",-5.6785935216381
"44",-6.28243590256999
"45",-6.72134018725414
"46",-5.3993648786787
"47",-5.13947424951543
"48",-5.00702590330905
"49",-4.57758618449833
"50",-5.20567105537766
"51",-5.87048946961046
"52",-5.02004721567267
"53",-5.51712399079478
"54",-4.56730534236881
"55",-4.42753917885356
"56",-4.84200030650451
"57",-4.6751868481926
"58",-5.47656219867529
"59",-3.61002217679363
"60",-6.25672476843011
"61",-4.45788819404119
"62",-6.18168722934873
"63",-4.67657083129675
"64",-6.17878776034899
"65",-5.41436697275158
"66",-6.18532065967113
"67",-5.0063460781427
"68",-5.37334553955
"69",-6.02407726467493
"70",-5.55908813456042
"71",-5.13728193605359
"72",-1.53900170101234
"73",-2.34490378397005
"74",-5.38960950128078
"75",-3.07523049132417
"76",0.749066157592683
"77",-5.64409741148215
"78",-2.05044024159748
"79",-6.29436599535935
"80",-0.91002938303117
"81",-5.0578901805755
"82",-5.30422293535661
"83",-5.07819640337069
"84",-1.72714620708711
"85",-4.6857673375411
"86",-5.95101950718
"87",-5.07194250590023
"88",-0.57691101097722
"89",-2.22592331569325
"90",-5.64920063933053
"91",0.720375668747479
"92",-5.44896848106576
"93",-2.08221816780709
"94",-3.6631893973848
"95",-4.39852316107041
"96",-4.01247500496205
"97",-4.94481822521152
"98",-2.72323039662705
"99",-3.76829412066903
"100",-4.70847641603353
"101",-2.92565268650162
"102",2.78835541478443
"103",-3.92938866013149
"104",-0.183210246666984
"105",-4.88880409689221
"106",-4.41526084229437
"107",-6.31975552975411
"108",-3.84321716277829
"109",-4.70027262037594
"110",-5.61664053247514
"111",-5.55899193964895
"112",0.702904561634769
"113",-0.141879054790627
"114",-4.87853127906483
"115",-2.47556023403703
"116",-0.799768100068558
"117",-1.76207873235518
"118",-2.22321561435637
"119",-0.211149846250589
"120",-4.43241516906748
"121",-5.6843514414061
"122",-2.34531467021025
"123",-1.30802581082902
"124",-5.36742575902798
"125",-4.49075037105411
"126",-6.05253498128489
"127",-1.58107136247492
"128",-4.69657427333712
"129",-5.28907077080785
"130",-5.05880661122958
"131",-5.19327762834374
"132",2.63034669190734
"133",-4.32892591633892
"134",-4.94680991020999
"135",-2.98690916373799
"136",-6.21698919104604
"137",-3.57449941109622
"138",-3.26821308243047
"139",-4.67999113743989
"140",-1.51927380429837
"141",-5.42953915336803
"142",-2.59966850476439
"143",-5.84591970140845
"144",-4.24526948506104
"145",-2.77202834384202
"146",-2.85700304699064
