"","x"
"240",-2.65041322314049
"241",-2.7704132231405
"242",-1.3004132231405
"243",-5.9504132231405
"244",-3.52041322314049
"245",-4.32041322314049
"246",-0.770413223140494
"247",0.339586776859505
"248",-2.54041322314049
"249",-3.7704132231405
"250",-4.8904132231405
"251",-4.64041322314049
"252",-0.620413223140494
"253",2.56958677685951
"254",-2.8804132231405
"255",0.439586776859505
"256",-3.58041322314049
"257",-5.2404132231405
"258",-1.8304132231405
"259",-0.840413223140496
"260",-5.9304132231405
"261",-2.3204132231405
"262",2.0295867768595
"263",2.67958677685951
"264",-0.0704132231404948
"265",0.679586776859505
"266",-2.8704132231405
"267",-5.52041322314049
"268",-5.3104132231405
"269",2.01958677685951
"270",1.2295867768595
"271",-7.5104132231405
"272",-5.2204132231405
"273",1.5795867768595
"274",-5.52041322314049
"275",2.8895867768595
"276",-2.9704132231405
"277",-5.03041322314049
"278",-2.2804132231405
"279",-1.7204132231405
"280",-4.73041322314049
"281",-4.0404132231405
"282",-3.78041322314049
"283",-1.76041322314049
"284",-1.7604132231405
"285",-6.2704132231405
"286",-1.6204132231405
"287",-3.1104132231405
"288",-4.36041322314049
"289",0.289586776859505
"290",-5.9604132231405
"291",-0.770413223140496
"292",0.619586776859505
"293",-3.13041322314049
"294",-1.7904132231405
"295",-0.400413223140495
"296",-0.520413223140494
"297",-3.99041322314049
"298",0.759586776859505
"299",-1.2604132231405
"300",-5.53041322314049
"301",-4.4304132231405
"302",-4.1204132231405
"303",-0.480413223140495
"304",-0.300413223140495
"305",-2.3904132231405
"306",-3.0304132231405
"307",-3.8904132231405
"308",0.739586776859506
"309",-4.7804132231405
"310",-4.6404132231405
"311",-0.510413223140496
"312",0.349586776859505
"313",-6.24041322314049
"314",-4.3704132231405
"315",-4.2404132231405
"316",0.639586776859504
"317",2.1895867768595
"318",-4.8704132231405
"319",1.0595867768595
"320",-6.49041322314049
"321",0.0895867768595053
"322",-3.9604132231405
"323",-6.54041322314049
"324",-3.57041322314049
"325",-4.81041322314049
"326",-5.6504132231405
"327",-4.1604132231405
"328",-0.430413223140496
"329",0.819586776859506
"330",1.7095867768595
"331",-0.740413223140495
"332",-6.2804132231405
"333",-2.7904132231405
"334",0.729586776859504
"335",-5.71041322314049
"336",0.689586776859503
"337",-4.13041322314049
"338",-4.32041322314049
"339",-0.580413223140495
"340",-5.07041322314049
"341",-4.9904132231405
"342",-5.44041322314049
"343",-2.5304132231405
"344",1.51958677685951
"345",-3.5604132231405
"346",-4.60041322314049
"347",-5.33041322314049
"348",-1.92041322314049
"349",-4.90041322314049
"350",-1.4304132231405
"351",-3.00041322314049
"352",-5.3204132231405
"353",1.19958677685951
"354",-5.20041322314049
"355",-4.81041322314049
"356",-5.27041322314049
"357",-4.76041322314049
"358",-4.8304132231405
"359",-7.10041322314049
"360",-3.3504132231405
"361",-1.96041322314049
"362",0.779586776859505
"363",-4.2704132231405
"364",-0.920413223140496
"365",-4.05041322314049
"366",-4.41041322314049
"367",-3.52041322314049
"368",-0.900413223140495
"369",-5.2904132231405
"370",0.0395867768595046
"371",-4.9204132231405
"372",-5.3004132231405
"373",-5.59041322314049
"374",-3.96041322314049
"375",-0.390413223140495
"376",-4.25041322314049
"377",-0.440413223140494
"378",-3.54041322314049
"379",-0.520413223140496
"380",-2.8204132231405
"381",-7.6804132231405
"382",-0.690413223140494
"383",-2.78041322314049
"384",-4.5304132231405
"385",-3.28041322314049
"386",-6.41041322314049
"387",-5.6004132231405
"388",-5.71041322314049
"389",-4.43041322314049
"390",-3.73041322314049
"391",-0.870413223140496
"392",-3.7204132231405
"393",-2.1104132231405
"394",-2.7504132231405
"395",-5.7504132231405
"396",1.0595867768595
"397",-1.81041322314049
"398",-4.73041322314049
"399",-3.77041322314049
"400",-6.09041322314049
"401",-1.7604132231405
"402",-4.34041322314049
"403",-7.20041322314049
"404",-2.9104132231405
"405",-2.6304132231405
"406",-4.62041322314049
"407",-3.13041322314049
"408",-6.70041322314049
"409",-3.03041322314049
"410",2.15958677685951
"411",-2.37041322314049
"412",-3.18041322314049
"413",-0.870413223140496
"414",-3.0504132231405
"415",1.3995867768595
"416",-3.91041322314049
"417",0.259586776859505
"418",0.0595867768595042
"419",-4.3104132231405
"420",-0.0204132231404941
"421",-5.9304132231405
"422",-0.280413223140496
"423",-5.6204132231405
"424",-5.8904132231405
"425",0.879586776859504
"426",-5.8604132231405
"427",-5.34041322314049
"428",0.569586776859504
"429",-0.060413223140495
"430",-6.4404132231405
"431",-0.570413223140495
"432",-3.29041322314049
"433",0.189586776859505
"434",-1.75041322314049
"435",-5.5404132231405
"436",-0.830413223140495
"437",-0.660413223140495
"438",-2.0504132231405
"439",-5.9604132231405
"440",1.8695867768595
"441",-0.240413223140495
"442",0.429586776859505
"443",-6.42041322314049
"444",-0.800413223140495
"445",-1.54041322314049
"446",-6.1404132231405
"447",-3.3804132231405
"448",1.8795867768595
"449",-1.84041322314049
"450",-2.66041322314049
"451",-4.0704132231405
"452",-4.90041322314049
"453",-5.4504132231405
"454",-3.79041322314049
"455",-4.36041322314049
"456",-0.560413223140497
"457",-2.80041322314049
"458",-0.440413223140496
"459",-3.73041322314049
"460",-4.12041322314049
"461",-5.70041322314049
"462",0.149586776859504
"463",-2.2804132231405
"464",-5.28041322314049
"465",-0.240413223140495
"466",-5.44041322314049
"467",-1.49041322314049
"468",-2.3804132231405
"469",0.799586776859504
"470",0.529586776859505
"471",-4.00041322314049
"472",-0.910413223140495
"473",-5.58041322314049
"474",-0.190413223140496
"475",0.739586776859504
"476",-2.2404132231405
"477",-5.0904132231405
"478",-6.42041322314049
"479",-5.33041322314049
"480",-5.1204132231405
"481",-0.000413223140494523
"482",-4.1004132231405
"483",0.309586776859506
"484",-2.72041322314049
"485",-2.86041322314049
"486",-4.2404132231405
"487",0.309586776859504
"488",0.269586776859505
"489",-2.1304132231405
"490",-2.20041322314049
"491",-5.1704132231405
"492",-1.62041322314049
"493",-4.33041322314049
"494",2.0295867768595
"495",-2.6704132231405
"496",-4.2104132231405
"497",-5.8904132231405
"498",-5.41041322314049
"499",-6.5004132231405
"500",-2.8504132231405
"501",-2.5804132231405
"502",-2.81041322314049
"503",1.3395867768595
"504",-3.3704132231405
"505",-0.330413223140495
"506",-6.19041322314049
"507",-4.6004132231405
"508",-3.1604132231405
"509",-2.8604132231405
"510",-4.4204132231405
"511",-4.3204132231405
"512",-0.700413223140496
"513",-2.09041322314049
"514",1.26958677685951
"515",-4.48041322314049
"516",-4.83041322314049
"517",-0.650413223140495
"518",-2.6304132231405
"519",-5.7004132231405
"520",-2.36041322314049
"521",-6.82041322314049
"522",-4.3504132231405
"523",-7.1204132231405
"524",-4.4504132231405
"525",-1.7604132231405
"526",0.109586776859505
"527",0.139586776859506
"528",-3.5804132231405
"529",-2.37041322314049
"530",-6.1904132231405
"531",-4.65041322314049
"532",-1.00041322314049
"533",-5.2004132231405
"534",-1.5704132231405
"535",-5.7904132231405
"536",-0.480413223140495
"537",-4.22041322314049
"538",0.469586776859506
"539",-2.8004132231405
"540",-6.88041322314049
"541",-5.7104132231405
"542",-0.930413223140496
"543",-1.8004132231405
"544",-5.94041322314049
"545",-2.30041322314049
"546",-1.71041322314049
"547",-3.23041322314049
"548",-5.7704132231405
"549",-2.2304132231405
"550",-0.250413223140495
"551",-0.100413223140496
"552",-4.9704132231405
"553",-4.8904132231405
"554",-3.8804132231405
"555",-4.9804132231405
"556",-2.5904132231405
"557",-2.61041322314049
"558",-4.31041322314049
"559",-5.1404132231405
"560",1.6895867768595
"561",-3.0004132231405
"562",-0.630413223140494
"563",-0.370413223140496
"564",-5.1404132231405
"565",-5.3304132231405
"566",-4.8004132231405
"567",-6.03041322314049
"568",-2.7004132231405
"569",1.7995867768595
"570",-3.6404132231405
"571",-3.6704132231405
"572",0.219586776859504
"573",-4.5204132231405
"574",-0.820413223140495
"575",-4.67041322314049
"576",-3.5904132231405
"577",-4.4204132231405
"578",-3.58041322314049
"579",-3.2004132231405
"580",-6.3704132231405
"581",-6.28041322314049
"582",-6.33041322314049
"583",-5.89041322314049
"584",-4.24041322314049
"585",-0.680413223140496
"586",-6.31041322314049
"587",-3.91041322314049
"588",-3.9704132231405
"589",-2.80041322314049
"590",0.739586776859504
"591",-5.0504132231405
"592",2.0095867768595
"593",-5.8904132231405
"594",-5.23041322314049
"595",0.0795867768595055
"596",-2.9304132231405
"597",-3.37041322314049
"598",-4.4004132231405
"599",-5.1304132231405
"600",-6.44041322314049
"601",-2.7804132231405
"602",-5.7004132231405
"603",-3.38041322314049
"604",-6.82041322314049
"605",-1.57041322314049
"606",-4.91041322314049
"607",-2.7204132231405
"608",-6.91041322314049
"609",-1.2904132231405
"610",-0.810413223140495
"611",-2.2004132231405
"612",-5.2104132231405
"613",-0.790413223140495
"614",-4.78041322314049
"615",1.2995867768595
"616",-1.24041322314049
"617",-1.62041322314049
"618",1.4595867768595
"619",-3.0104132231405
"620",-5.1004132231405
"621",-0.190413223140496
"622",-5.6304132231405
"623",1.09958677685951
"624",-4.50041322314049
"625",-1.5604132231405
"626",-2.8004132231405
"627",0.109586776859505
"628",-4.6904132231405
"629",-4.34041322314049
"630",-2.8104132231405
"631",-4.2104132231405
"632",-2.6404132231405
"633",-1.2904132231405
"634",0.999586776859504
"635",-1.9204132231405
"636",-0.210413223140494
"637",-5.3104132231405
"638",1.64958677685951
"639",-0.0104132231404961
"640",-1.64041322314049
"641",-0.100413223140494
"642",-6.08041322314049
"643",0.439586776859505
"644",-4.7304132231405
"645",-2.9704132231405
"646",-1.1204132231405
"647",-5.2104132231405
"648",-1.7604132231405
"649",1.12958677685951
"650",-1.71041322314049
"651",-1.02041322314049
"652",-1.2904132231405
"653",-4.09041322314049
"654",-4.38041322314049
"655",-0.210413223140495
"656",-1.0404132231405
"657",-0.480413223140495
"658",-3.33041322314049
"659",-4.2204132231405
"660",0.619586776859505
"661",-2.1404132231405
"662",1.58958677685951
"663",-4.4204132231405
"664",-4.6604132231405
"665",-3.6004132231405
"666",-4.59041322314049
"667",0.749586776859505
"668",-5.3904132231405
"669",1.1195867768595
"670",-4.7404132231405
"671",-3.3104132231405
"672",-1.79041322314049
"673",-4.32041322314049
"674",-2.99041322314049
"675",1.84958677685951
"676",-0.940413223140496
"677",-6.76041322314049
"678",-5.2904132231405
"679",-2.85041322314049
"680",-3.4904132231405
"681",-4.71041322314049
"682",2.3895867768595
"683",-2.57041322314049
"684",-4.27041322314049
"685",-4.90041322314049
"686",-3.8604132231405
"687",-3.7404132231405
"688",0.239586776859504
"689",-0.120413223140496
"690",-5.5504132231405
"691",-4.3704132231405
"692",-5.2004132231405
"693",-5.62041322314049
"694",-4.93041322314049
"695",-4.6904132231405
"696",-5.46041322314049
"697",-5.2104132231405
"698",-5.7704132231405
"699",-5.52041322314049
"700",-1.4004132231405
"701",-0.310413223140495
"702",-0.400413223140495
"703",-5.9704132231405
"704",0.429586776859503
"705",-2.90041322314049
"706",-1.74041322314049
"707",-3.3104132231405
"708",0.419586776859505
"709",-0.690413223140494
"710",-4.8004132231405
"711",-1.3704132231405
"712",-4.12041322314049
"713",-3.5504132231405
"714",1.39958677685951
"715",-2.8004132231405
"716",-1.3104132231405
"717",-2.5304132231405
"718",0.399586776859506
"719",-2.99041322314049
"720",-0.710413223140495
"721",-0.430413223140494
"722",1.80958677685951
"723",-0.870413223140496
"724",-5.76041322314049
"725",-1.12041322314049
"726",0.789586776859506
"727",-2.3304132231405
"728",2.0395867768595
"729",0.0795867768595055
"730",-2.9904132231405
"731",-5.1604132231405
"732",-5.98041322314049
"733",-1.95041322314049
"734",-0.660413223140496
"735",-2.7804132231405
"736",-2.0704132231405
"737",0.929586776859505
"738",0.129586776859506
"739",-1.7104132231405
"740",-7.1704132231405
"741",-3.60041322314049
"742",-0.520413223140496
"743",-3.8104132231405
"744",-3.52041322314049
"745",-4.98041322314049
"746",-4.8604132231405
"747",0.249586776859505
"748",-3.65041322314049
"749",-1.3504132231405
"750",-0.120413223140496
"751",-3.19041322314049
"752",-4.36041322314049
"753",2.50958677685951
"754",-4.6904132231405
"755",-1.92041322314049
"756",-3.87041322314049
"757",-1.7004132231405
"758",-3.2604132231405
"759",-1.5104132231405
"760",-6.55041322314049
"761",-3.3304132231405
"762",-1.5904132231405
"763",0.469586776859504
"764",2.4595867768595
"765",-0.440413223140494
"766",-4.4904132231405
"767",-3.4004132231405
"768",-4.8804132231405
"769",-1.7204132231405
"770",-1.78041322314049
"771",-2.3004132231405
"772",-0.330413223140496
"773",-2.1204132231405
"774",0.259586776859505
"775",-4.54041322314049
"776",-2.46041322314049
"777",-3.20041322314049
"778",-0.0504132231404952
"779",-0.600413223140496
"780",-1.35041322314049
"781",1.68958677685951
"782",2.2895867768595
"783",-2.60041322314049
"784",-0.510413223140496
"785",-4.02041322314049
"786",3.14958677685951
"787",1.0395867768595
"788",-0.240413223140497
"789",0.0495867768595044
"790",0.919586776859505
"791",-0.530413223140496
"792",-4.7004132231405
"793",-1.1404132231405
"794",-4.7504132231405
"795",-1.43041322314049
"796",-3.7804132231405
"797",0.799586776859506
"798",3.0595867768595
"799",-2.27041322314049
"800",-6.1004132231405
"801",-3.5104132231405
"802",-0.530413223140494
"803",-4.31041322314049
"804",0.00958677685950526
"805",-4.1704132231405
"806",1.1395867768595
"807",2.5495867768595
"808",1.4495867768595
"809",-3.41041322314049
"810",0.309586776859504
"811",-0.930413223140494
"812",1.7195867768595
"813",-0.830413223140495
"814",2.6595867768595
"815",1.99958677685951
"816",0.00958677685950526
"817",-3.73041322314049
"818",-3.63041322314049
"819",-1.0604132231405
"820",-3.60041322314049
"821",-3.86041322314049
"822",-3.4204132231405
"823",-2.3104132231405
"824",0.0295867768595048
"825",-1.6404132231405
"826",-5.1604132231405
"827",1.3895867768595
"828",-3.2504132231405
"829",-4.41041322314049
"830",-0.760413223140494
"831",-0.770413223140494
"832",-1.41041322314049
"833",-4.3404132231405
"834",-4.4404132231405
"835",-0.310413223140495
"836",0.139586776859506
"837",-2.86041322314049
"838",2.22958677685951
"839",2.1195867768595
"840",-2.0904132231405
"841",-1.13041322314049
"842",-3.25041322314049
"843",-3.5904132231405
"844",1.0595867768595
"845",-4.7404132231405
"846",-0.700413223140496
"847",-0.710413223140495
"848",-3.30041322314049
"849",-4.7704132231405
"850",-4.7204132231405
"851",-1.28041322314049
"852",5.1195867768595
"853",-1.20041322314049
"854",-1.41041322314049
"855",5.7995867768595
"856",-5.60041322314049
"857",-3.6704132231405
"858",-0.700413223140494
"859",0.469586776859504
"860",-0.060413223140495
"861",-2.1604132231405
"862",-5.0504132231405
"863",-1.18041322314049
"864",-0.120413223140496
"865",0.709586776859505
"866",3.78958677685951
"867",0.699586776859505
"868",6.8795867768595
"869",-1.23041322314049
"870",0.969586776859504
"871",0.949586776859505
"872",-0.600413223140496
"873",-4.77041322314049
"874",1.57958677685951
"875",-1.3104132231405
"876",0.159586776859504
"877",5.6295867768595
"878",-2.4304132231405
"879",0.299586776859504
"880",-0.880413223140495
"881",0.0395867768595046
"882",-0.380413223140495
"883",-0.400413223140495
"884",-1.56041322314049
"885",-0.360413223140494
"886",1.64958677685951
"887",2.55958677685951
"888",-5.19041322314049
"889",-0.300413223140495
"890",0.409586776859506
"891",11.0895867768595
"892",0.259586776859503
"893",2.0295867768595
"894",-4.5804132231405
"895",3.66958677685951
"896",-3.75041322314049
"897",-4.77041322314049
"898",2.64958677685951
"899",-3.43041322314049
"900",-3.57041322314049
"901",-4.5004132231405
"902",-4.69041322314049
"903",6.13958677685951
"904",-4.5004132231405
"905",9.2095867768595
"906",-2.61041322314049
"907",-0.470413223140495
"908",-4.4304132231405
"909",-0.850413223140494
"910",-3.98041322314049
"911",4.5395867768595
"912",-3.1704132231405
"913",-3.6704132231405
"914",-4.2004132231405
"915",-7.17041322314049
"916",-3.5504132231405
"917",-3.27041322314049
"918",-2.0504132231405
"919",-2.94041322314049
"920",-5.7804132231405
"921",-3.2004132231405
"922",3.39958677685951
"923",-1.8504132231405
"924",1.40958677685951
"925",0.389586776859504
"926",4.8195867768595
"927",-2.86041322314049
"928",-2.2704132231405
"929",-3.48041322314049
"930",-1.18041322314049
"931",1.96958677685951
"932",-3.21041322314049
"933",-3.2604132231405
"934",-3.19041322314049
"935",0.189586776859505
"936",0.0895867768595053
"937",-4.49041322314049
"938",-3.8704132231405
"939",-4.58041322314049
"940",2.66958677685951
"941",10.2895867768595
"942",-0.350413223140496
"943",-3.78041322314049
"944",0.0295867768595048
"945",-3.6404132231405
"946",0.299586776859506
"947",9.9395867768595
"948",-0.690413223140496
"949",-6.46041322314049
"950",0.589586776859505
"951",1.7895867768595
"952",2.25958677685951
"953",1.7995867768595
"954",8.5795867768595
"955",0.239586776859506
"956",8.58958677685951
"957",-2.15041322314049
"958",-0.810413223140495
"959",-4.69041322314049
"960",-0.390413223140495
"961",-6.27041322314049
"962",-3.24041322314049
"963",-1.48041322314049
"964",6.0395867768595
"965",2.8195867768595
"966",-0.580413223140495
"967",0.999586776859504
"968",-3.02041322314049
"969",-2.80041322314049
"970",1.5395867768595
"971",-4.41041322314049
"972",7.27958677685951
"973",-1.5604132231405
"974",-0.300413223140495
"975",-0.260413223140496
"976",10.1495867768595
"977",-3.4304132231405
"978",1.67958677685951
"979",2.1895867768595
"980",-5.91041322314049
"981",-5.67041322314049
"982",0.739586776859504
"983",3.0395867768595
"984",-4.89041322314049
"985",-1.64041322314049
"986",0.699586776859505
"987",-2.04041322314049
"988",7.08958677685951
"989",-0.0204132231404941
"990",-3.88041322314049
"991",-5.2504132231405
"992",-2.5604132231405
"993",-2.7204132231405
"994",-2.86041322314049
"995",-3.96041322314049
"996",-3.0904132231405
"997",-2.53041322314049
"998",-2.84041322314049
"999",-1.8504132231405
"1000",3.1895867768595
"1001",-5.0104132231405
"1002",-5.58041322314049
"1003",-4.53041322314049
"1004",1.50958677685951
"1005",0.939586776859503
"1006",6.0395867768595
"1007",-4.07041322314049
"1008",-2.6304132231405
"1009",-3.5504132231405
"1010",-2.1804132231405
"1011",-2.57041322314049
"1012",-3.65041322314049
"1013",-0.490413223140495
"1014",-3.24041322314049
"1015",-2.03041322314049
"1016",-5.4104132231405
"1017",-1.7304132231405
"1018",-1.40041322314049
"1019",-0.750413223140495
"1020",-1.85041322314049
"1021",-2.1404132231405
"1022",-4.4304132231405
"1023",-2.63041322314049
"1024",-0.900413223140497
"1025",-3.04041322314049
"1026",-2.5204132231405
"1027",-1.54041322314049
"1028",-4.41041322314049
"1029",4.0995867768595
"1030",3.00958677685951
"1031",-4.9004132231405
"1032",0.239586776859506
"1033",-5.05041322314049
"1034",-1.69041322314049
"1035",-4.19041322314049
"1036",-3.8104132231405
"1037",-4.8104132231405
"1038",-5.7204132231405
"1039",-1.9004132231405
"1040",-1.4904132231405
"1041",-3.70041322314049
"1042",-1.17041322314049
"1043",-2.2804132231405
"1044",-1.6204132231405
"1045",-4.36041322314049
"1046",3.3795867768595
"1047",11.0795867768595
"1048",-1.3704132231405
"1049",-0.800413223140495
"1050",0.339586776859505
"1051",1.2295867768595
"1052",1.4095867768595
"1053",8.38958677685951
"1054",1.31958677685951
