"","x"
"238",-0.780448642266823
"239",2.42955135773318
"240",-2.57044864226682
"241",-2.65044864226682
"242",-1.16044864226682
"243",-6.55044864226682
"244",-3.85044864226682
"245",-4.22044864226682
"246",-1.03044864226682
"247",0.119551357733176
"248",-2.28044864226682
"249",-3.72044864226682
"250",-4.93044864226682
"251",-4.54044864226682
"252",-0.520448642266823
"253",2.88955135773318
"254",-2.91044864226682
"255",0.899551357733177
"256",-3.65044864226682
"257",-5.18044864226682
"258",-1.69044864226682
"259",-0.970448642266824
"260",-5.63044864226682
"261",-2.02044864226682
"262",2.33955135773318
"263",2.73955135773318
"264",0.0095513577331765
"265",1.02955135773318
"266",-3.25044864226682
"267",-5.15044864226682
"268",-4.77044864226682
"269",1.72955135773318
"270",1.51955135773318
"271",-7.45044864226682
"272",-5.24044864226682
"273",1.03955135773318
"274",-5.18044864226682
"275",3.31955135773318
"276",-3.02044864226682
"277",-5.21044864226682
"278",-2.24044864226682
"279",-1.57044864226682
"280",-4.42044864226682
"281",-4.00044864226682
"282",-3.76044864226682
"283",-1.84044864226682
"284",-1.44044864226682
"285",-6.05044864226682
"286",-1.90044864226682
"287",-2.81044864226682
"288",-4.08044864226682
"289",0.519551357733176
"290",-5.82044864226682
"291",-0.880448642266824
"292",0.739551357733177
"293",-2.96044864226682
"294",-1.74044864226682
"295",-0.210448642266824
"296",-0.580448642266823
"297",-3.75044864226682
"298",0.819551357733177
"299",-0.900448642266824
"300",-5.50044864226682
"301",-4.29044864226682
"302",-3.74044864226682
"303",-0.170448642266823
"304",-0.0904486422668231
"305",-2.25044864226682
"306",-2.92044864226682
"307",-3.64044864226682
"308",0.919551357733177
"309",-4.72044864226682
"310",-4.67044864226682
"311",-0.580448642266823
"312",0.339551357733177
"313",-6.00044864226682
"314",-4.03044864226682
"315",-4.06044864226682
"316",0.659551357733177
"317",2.24955135773318
"318",-4.85044864226682
"319",1.25955135773318
"320",-6.66044864226682
"321",0.229551357733177
"322",-4.06044864226682
"323",-6.44044864226682
"324",-3.65044864226682
"325",-4.87044864226682
"326",-5.54044864226682
"327",-3.82044864226682
"328",-0.300448642266824
"329",1.00955135773318
"330",2.13955135773318
"331",-0.660448642266823
"332",-6.33044864226682
"333",-2.83044864226682
"334",1.02955135773318
"335",-5.70044864226682
"336",0.869551357733176
"337",-3.87044864226682
"338",-4.64044864226682
"339",-0.420448642266823
"340",-5.13044864226682
"341",-5.13044864226682
"342",-5.27044864226682
"343",-2.48044864226682
"344",1.82955135773318
"345",-3.45044864226682
"346",-4.16044864226682
"347",-5.51044864226682
"348",-2.17044864226682
"349",-5.13044864226682
"350",-1.23044864226682
"351",-2.67044864226682
"352",-5.02044864226682
"353",1.46955135773318
"354",-4.85044864226682
"355",-4.55044864226682
"356",-5.12044864226682
"357",-4.58044864226682
"358",-4.86044864226682
"359",-7.07044864226682
"360",-3.20044864226682
"361",-1.87044864226682
"362",0.879551357733176
"363",-4.48044864226682
"364",-0.800448642266824
"365",-3.96044864226682
"366",-4.49044864226682
"367",-4.53044864226682
"368",-0.910448642266823
"369",-5.14044864226682
"370",0.0495513577331756
"371",-4.61044864226682
"372",-5.75044864226682
"373",-5.27044864226682
"374",-4.04044864226682
"375",-0.240448642266823
"376",-4.22044864226682
"377",-0.440448642266823
"378",-4.10044864226682
"379",-0.380448642266824
"380",-2.86044864226682
"381",-7.46044864226682
"382",-0.750448642266823
"383",-2.96044864226682
"384",-4.65044864226682
"385",-4.44044864226682
"386",-6.47044864226682
"387",-5.74044864226682
"388",-5.78044864226682
"389",-4.58044864226682
"390",-3.59044864226682
"391",-0.310448642266824
"392",-3.77044864226682
"393",-2.25044864226682
"394",-2.77044864226682
"395",-5.71044864226682
"396",1.16955135773318
"397",-2.05044864226682
"398",-5.13044864226682
"399",-4.30044864226682
"400",-6.26044864226682
"401",-1.87044864226682
"402",-4.57044864226682
"403",-7.28044864226682
"404",-3.71044864226682
"405",-2.98044864226682
"406",-4.71044864226682
"407",-3.17044864226682
"408",-6.85044864226682
"409",-2.69044864226682
"410",1.89955135773318
"411",-2.13044864226682
"412",-3.51044864226682
"413",-1.19044864226682
"414",-3.49044864226682
"415",1.09955135773318
"416",-3.88044864226682
"417",0.649551357733177
"418",0.0095513577331765
"419",-4.54044864226682
"420",-0.280448642266823
"421",-5.96044864226682
"422",-0.240448642266823
"423",-5.64044864226682
"424",-6.13044864226682
"425",0.839551357733177
"426",-5.74044864226682
"427",-5.15044864226682
"428",0.539551357733176
"429",-0.140448642266824
"430",-6.46044864226682
"431",-0.800448642266824
"432",-3.36044864226682
"433",0.0195513577331763
"434",-1.73044864226682
"435",-5.73044864226682
"436",-0.400448642266824
"437",-0.820448642266824
"438",-2.57044864226682
"439",-5.64044864226682
"440",1.79955135773318
"441",-0.270448642266823
"442",0.279551357733176
"443",-6.68044864226682
"444",-0.980448642266824
"445",-2.10044864226682
"446",-6.10044864226682
"447",-3.42044864226682
"448",1.44955135773318
"449",-1.99044864226682
"450",-2.57044864226682
"451",-3.61044864226682
"452",-5.05044864226682
"453",-6.06044864226682
"454",-3.61044864226682
"455",-4.20044864226682
"456",-0.450448642266824
"457",-2.61044864226682
"458",-0.480448642266824
"459",-3.61044864226682
"460",-4.30044864226682
"461",-5.94044864226682
"462",0.179551357733176
"463",-2.47044864226682
"464",-5.11044864226682
"465",-0.240448642266823
"466",-5.21044864226682
"467",-2.05044864226682
"468",-2.25044864226682
"469",1.15955135773318
"470",0.459551357733176
"471",-4.00044864226682
"472",-0.780448642266823
"473",-5.80044864226682
"474",-0.150448642266824
"475",0.949551357733176
"476",-2.18044864226682
"477",-5.03044864226682
"478",-6.59044864226682
"479",-5.33044864226682
"480",-5.26044864226682
"481",-0.190448642266823
"482",-3.72044864226682
"483",0.469551357733177
"484",-3.19044864226682
"485",-2.92044864226682
"486",-4.11044864226682
"487",0.509551357733177
"488",0.369551357733176
"489",-1.97044864226682
"490",-2.30044864226682
"491",-5.10044864226682
"492",-1.36044864226682
"493",-4.07044864226682
"494",1.84955135773318
"495",-2.68044864226682
"496",-3.99044864226682
"497",-5.73044864226682
"498",-5.23044864226682
"499",-7.03044864226682
"500",-2.79044864226682
"501",-2.78044864226682
"502",-2.88044864226682
"503",1.37955135773318
"504",-3.23044864226682
"505",-0.230448642266824
"506",-6.26044864226682
"507",-5.23044864226682
"508",-2.96044864226682
"509",-2.82044864226682
"510",-4.52044864226682
"511",-4.20044864226682
"512",-0.590448642266823
"513",-2.16044864226682
"514",1.17955135773318
"515",-3.89044864226682
"516",-4.99044864226682
"517",-0.620448642266824
"518",-2.52044864226682
"519",-5.76044864226682
"520",-2.46044864226682
"521",-6.76044864226682
"522",-4.46044864226682
"523",-7.26044864226682
"524",-4.75044864226682
"525",-1.65044864226682
"526",0.289551357733176
"527",0.579551357733177
"528",-3.79044864226682
"529",-2.54044864226682
"530",-6.31044864226682
"531",-4.76044864226682
"532",-0.920448642266823
"533",-5.39044864226682
"534",-1.61044864226682
"535",-5.83044864226682
"536",-0.440448642266823
"537",-4.19044864226682
"538",0.569551357733177
"539",-2.82044864226682
"540",-6.87044864226682
"541",-5.74044864226682
"542",-0.640448642266824
"543",-1.44044864226682
"544",-5.95044864226682
"545",-2.12044864226682
"546",-2.34044864226682
"547",-3.13044864226682
"548",-5.73044864226682
"549",-2.12044864226682
"550",-0.180448642266823
"551",-0.140448642266824
"552",-4.70044864226682
"553",-4.83044864226682
"554",-3.42044864226682
"555",-5.19044864226682
"556",-2.23044864226682
"557",-2.69044864226682
"558",-4.19044864226682
"559",-5.16044864226682
"560",1.61955135773318
"561",-3.53044864226682
"562",-0.860448642266823
"563",-0.380448642266824
"564",-5.07044864226682
"565",-5.47044864226682
"566",-4.94044864226682
"567",-6.02044864226682
"568",-2.67044864226682
"569",1.67955135773318
"570",-3.85044864226682
"571",-3.56044864226682
"572",0.0795513577331768
"573",-4.56044864226682
"574",-0.970448642266824
"575",-4.82044864226682
"576",-3.48044864226682
"577",-4.68044864226682
"578",-3.49044864226682
"579",-3.14044864226682
"580",-6.49044864226682
"581",-6.44044864226682
"582",-6.39044864226682
"583",-6.29044864226682
"584",-4.33044864226682
"585",-0.750448642266823
"586",-6.37044864226682
"587",-3.74044864226682
"588",-4.01044864226682
"589",-2.86044864226682
"590",0.879551357733176
"591",-4.97044864226682
"592",1.87955135773318
"593",-5.72044864226682
"594",-5.42044864226682
"595",0.069551357733177
"596",-2.95044864226682
"597",-3.18044864226682
"598",-4.47044864226682
"599",-5.40044864226682
"600",-6.61044864226682
"601",-2.85044864226682
"602",-5.65044864226682
"603",-2.78044864226682
"604",-6.92044864226682
"605",-1.49044864226682
"606",-4.98044864226682
"607",-2.81044864226682
"608",-7.18044864226682
"609",-1.08044864226682
"610",-0.850448642266823
"611",-2.18044864226682
"612",-5.38044864226682
"613",-0.750448642266823
"614",-4.61044864226682
"615",1.61955135773318
"616",-1.19044864226682
"617",-1.62044864226682
"618",1.54955135773318
"619",-3.04044864226682
"620",-5.21044864226682
"621",-0.150448642266824
"622",-5.25044864226682
"623",1.13955135773318
"624",-4.59044864226682
"625",-1.72044864226682
"626",-3.00044864226682
"627",-0.050448642266824
"628",-4.90044864226682
"629",-4.40044864226682
"630",-2.75044864226682
"631",-4.51044864226682
"632",-2.90044864226682
"633",-1.40044864226682
"634",0.789551357733176
"635",-1.96044864226682
"636",-0.530448642266823
"637",-5.52044864226682
"638",1.51955135773318
"639",-0.0404486422668242
"640",-1.70044864226682
"641",-0.410448642266823
"642",-6.14044864226682
"643",0.389551357733177
"644",-4.86044864226682
"645",-2.98044864226682
"646",-1.00044864226682
"647",-4.91044864226682
"648",-1.90044864226682
"649",0.979551357733177
"650",-1.54044864226682
"651",-0.850448642266823
"652",-1.31044864226682
"653",-4.34044864226682
"654",-4.55044864226682
"655",-0.980448642266824
"656",-0.900448642266824
"657",-0.850448642266823
"658",-3.49044864226682
"659",-4.26044864226682
"660",0.439551357733176
"661",-2.36044864226682
"662",1.35955135773318
"663",-4.70044864226682
"664",-4.79044864226682
"665",-3.58044864226682
"666",-4.83044864226682
"667",0.599551357733176
"668",-5.44044864226682
"669",1.10955135773318
"670",-4.79044864226682
"671",-3.32044864226682
"672",-1.69044864226682
"673",-4.31044864226682
"674",-3.05044864226682
"675",2.23955135773318
"676",-0.950448642266824
"677",-6.93044864226682
"678",-5.23044864226682
"679",-2.84044864226682
"680",-3.53044864226682
"681",-4.77044864226682
